# id, cityname, citycode, airportname, airportcode
8899,Sumbawa,SWQ,Lunyuk,LYK
8900,Sumbawa,SWQ,Brangbiji,SWQ
8901,Sumbawanga,SUT,Sumbawanga,SUT
8902,Sumenep,SUP,Trunojoyo,SUP
8903,Summer Beaver,SUR,Summer Beaver,SUR
8904,Sumter,SSC,Shaw AFB,SSC
8905,Sumter,SSC,Sumter Apt,SUM
8906,Sundsvall/Harnosand,SDL,Sundsvall-Timra,SDL
8907,Sunriver,SUO,Sunriver,SUO
8908,Suntar,SUY,Suntar,SUY
8909,Superior,SUW,Richard I Bong,SUW
8910,Sur,SUH,Sur,SUH
8911,Surabaya,SUB,Juanda,SUB
8912,Surakarta (Solo),SOC,Adi Sumarmo,SOC
8913,Surat,STV,Surat,STV
8914,Surgut,SGC,Surgut,SGC
8915,Suria,SUZ,Suria,SUZ
8916,Surigao,SUG,Surigao,SUG
8917,Surkhet,SKH,Surkhet,SKH
8918,Susanville,SVE,Municipal,SVE
8919,Suva,SUV,Nausori Intl,SUV
8920,Suwon,SWU,Air Base,SWU
8921,Suzhou,SZV,Guangfu,SZV
8922,Svolvaer,SVJ,Helle,SVJ
8923,Swakopmund,SWP,Airport,SWP
8924,Swan Hill,SWH,Swan Hill,SWH
8925,Swansea,SWS,Swansea,SWS
8926,Sweetwater,SWW,Avenger Field,SWW
8927,Syangboche,SYH,Syangboche,SYH
8928,Sydney,SYD,Bankstown,BWU
8929,Sydney,SYD,Palm Beach SPB,LBH
8930,Sydney,SYD,Rose Bay SPB,RSE
8931,Sydney,SYD,Kingsford Smith,SYD
8932,Syktyvkar,SCW,Syktyvkar,SCW
8933,Sylvester,SYV,Sylvester,SYV
8934,Syracuse,SYR,Hancock Intl,SYR
8935,Szczecin,SZZ,Goleniow,SZZ
8936,Szczytno,SZY,Olsztyn-Mazury,SZY
8937,Taman Negara,SXT,Sungai Tiang,SXT
8938,Tampa,TPA,St Pete-Albert Whitted,SPG
8939,Tel Aviv-Yafo,TLV,Sde Dov,SDV
8940,Thandwe,SNW,Thandwe,SNW
8941,Thessaloniki,SKG,Makedonia,SKG
8942,Vojens,SKS,Skrydstrup,SKS
8943,Warraber Island,SYU,Warraber Island,SYU
8944,Wichita Falls,SPS,Kickapoo Downtown Apt,KIP
8945,Wichita Falls,SPS,Municipal/Sheppard AFB,SPS
8946,Xi\an,SIA,Xiguan,SIA
8947,Xi\an,SIA,Xianyang Intl,XIY
8948,Yekaterinburg,SVX,Koltsovo,SVX
8949,Zaysan,SZI,Zaysan,SZI
8950,Aitape,ATP,Tadji,TAJ
8951,Al Fallujah,TQD,Al Taqaddum AB,TQD
8952,Amarillo,AMA,Tradewind,TDW
8953,Ankisatra,TZO,Tsimiroro,TZO
8954,Antananarivo,TNR,Ivato Intl,TNR
8955,Astana,TSE,International,TSE
8956,Bandar Lampung,TKG,Radin Inten II,TKG
8957,Belize City,BZE,Municipal,TZA
8958,Berlin,BER,Tegel,TXL
8959,Bor,TGP,Podkamennaya Tunguska,TGP
8960,Bristol/Johnson/Kingsp,TRI,Tri-Cities Regional TN,TRI
8961,Britton,TTO,Municipal,TTO
